Wavelength nm.,C5,C5,C5,C8,C8,C8,C18,C18,C18,C36,C36,C36,C72,C72,C72,C144,C144,C144
277,0.16841,0.16652,0.1675,0.18919,0.1875,0.18642,0.25899,0.25743,0.26041,0.45183,0.47348,0.47217,0.96295,0.94402,0.9445,1.51595,1.84802,1.84683
278,0.16502,0.16322,0.1642,0.18533,0.18365,0.18234,0.2496,0.24805,0.25105,0.43689,0.45677,0.45512,0.93108,0.9118,0.912,1.46948,1.8036,1.79869
279,0.1618,0.15976,0.16106,0.18134,0.1795,0.17818,0.23996,0.23865,0.2412,0.42192,0.43935,0.43816,0.89799,0.87927,0.8792,1.42041,1.75648,1.74921
280,0.15854,0.15648,0.15762,0.17688,0.17514,0.17418,0.22989,0.22838,0.23088,0.4053,0.42052,0.41945,0.86098,0.8432,0.84315,1.36632,1.6989,1.69815
281,0.15448,0.15239,0.15379,0.17223,0.17038,0.16896,0.21916,0.21764,0.22011,0.38841,0.40114,0.40024,0.82443,0.8064,0.80592,1.30666,1.63681,1.64058
282,0.15067,0.14871,0.14989,0.1675,0.16551,0.16428,0.20799,0.20656,0.20912,0.37053,0.38081,0.37976,0.78453,0.76782,0.76822,1.2458,1.56943,1.57033
283,0.14626,0.14427,0.14575,0.16234,0.16017,0.15906,0.19586,0.19449,0.1969,0.35114,0.3591,0.35797,0.74159,0.72609,0.72542,1.1806,1.49464,1.494
284,0.14186,0.14003,0.14122,0.15675,0.15465,0.15352,0.18326,0.18199,0.18407,0.3313,0.33636,0.33556,0.69708,0.68205,0.68268,1.1087,1.41304,1.4111
285,0.13751,0.13585,0.13702,0.15144,0.14926,0.14822,0.17078,0.16937,0.17162,0.31129,0.31332,0.31223,0.65184,0.63742,0.63783,1.03691,1.32144,1.32167
286,0.13284,0.13094,0.13216,0.14549,0.14337,0.14221,0.15736,0.1561,0.15805,0.28989,0.28867,0.28775,0.60446,0.59105,0.59102,0.95921,1.22725,1.22906
287,0.12871,0.12701,0.12814,0.14041,0.13831,0.13704,0.14441,0.14301,0.14505,0.26883,0.26462,0.26385,0.55623,0.54382,0.54437,0.88036,1.12917,1.12784
288,0.1244,0.1226,0.12378,0.13487,0.13293,0.13152,0.13136,0.13007,0.13196,0.24791,0.24104,0.23987,0.50893,0.4973,0.49811,0.80135,1.02815,1.02773
289,0.12006,0.11816,0.11934,0.12927,0.12714,0.12602,0.119,0.11781,0.11963,0.22816,0.21878,0.21747,0.46475,0.45401,0.45479,0.72897,0.93443,0.9328
290,0.11536,0.11359,0.11493,0.12386,0.1214,0.12039,0.10646,0.10518,0.10696,0.20827,0.19583,0.19493,0.41995,0.40964,0.41051,0.6539,0.83649,0.83623
291,0.11154,0.10965,0.11095,0.1188,0.11664,0.11542,0.09492,0.09361,0.09512,0.18951,0.17441,0.17332,0.37666,0.36766,0.36879,0.58176,0.74365,0.74216
292,0.10776,0.106,0.10718,0.114,0.11192,0.11087,0.08458,0.08322,0.08484,0.17268,0.15538,0.15462,0.3391,0.33109,0.33199,0.51846,0.66083,0.6601
293,0.10422,0.10269,0.10387,0.10976,0.1077,0.10661,0.07478,0.07358,0.07507,0.15665,0.13756,0.1366,0.30284,0.29596,0.29692,0.45766,0.58189,0.58078
294,0.10117,0.09943,0.10052,0.10597,0.10367,0.10262,0.06573,0.06453,0.06606,0.14217,0.12083,0.11992,0.26962,0.26308,0.26396,0.40123,0.50745,0.50615
295,0.09764,0.09602,0.09734,0.10182,0.09966,0.09845,0.05721,0.05603,0.0574,0.12877,0.10535,0.10464,0.23953,0.23369,0.23483,0.35129,0.44142,0.44051
296,0.09534,0.09354,0.09496,0.09868,0.0965,0.0954,0.05017,0.04892,0.05028,0.11717,0.09241,0.09151,0.2133,0.20799,0.20882,0.30682,0.38206,0.3811
297,0.09277,0.09113,0.09247,0.09596,0.09367,0.09259,0.04385,0.04265,0.04402,0.10674,0.08066,0.07983,0.18958,0.18471,0.18555,0.26662,0.32896,0.32774
298,0.09073,0.08899,0.09019,0.09314,0.09096,0.0898,0.03848,0.03735,0.0385,0.09813,0.07077,0.07007,0.17032,0.16534,0.16631,0.23392,0.28583,0.28455
299,0.08858,0.08694,0.0881,0.09062,0.08862,0.08745,0.03383,0.03273,0.03384,0.09038,0.06245,0.06155,0.15295,0.14847,0.14958,0.20454,0.2473,0.24631
300,0.08649,0.08488,0.08606,0.08832,0.08607,0.08502,0.02959,0.02843,0.02965,0.08328,0.05466,0.05365,0.13734,0.13313,0.13403,0.17836,0.21298,0.21175
301,0.08463,0.08301,0.0842,0.08615,0.08405,0.08282,0.02588,0.0248,0.026,0.07729,0.04819,0.04715,0.12413,0.12042,0.12137,0.15636,0.18466,0.18314
302,0.08327,0.08182,0.08293,0.08443,0.08234,0.08139,0.02315,0.02191,0.02319,0.07242,0.04283,0.04204,0.11359,0.11014,0.11079,0.13885,0.16127,0.16031
303,0.08197,0.0804,0.08173,0.08311,0.08089,0.07979,0.02077,0.01958,0.02074,0.06822,0.03836,0.03766,0.10439,0.10101,0.10196,0.12343,0.1414,0.13986
304,0.08089,0.07916,0.08023,0.08171,0.07961,0.07846,0.01872,0.01776,0.01878,0.06491,0.03459,0.03378,0.09656,0.09334,0.0943,0.11029,0.12416,0.1227
305,0.07964,0.07808,0.07924,0.08046,0.07834,0.07719,0.01701,0.01601,0.01694,0.062,0.03145,0.03059,0.09024,0.08716,0.08794,0.09969,0.11028,0.10886
306,0.0786,0.0769,0.07802,0.07916,0.07687,0.07579,0.01552,0.01421,0.01529,0.0587,0.0284,0.02774,0.08446,0.08138,0.08228,0.0901,0.0981,0.09705
307,0.07712,0.07544,0.07654,0.07784,0.07547,0.07433,0.01392,0.0126,0.0137,0.05598,0.02562,0.02498,0.07921,0.07628,0.07707,0.08192,0.08745,0.08641
308,0.07619,0.07437,0.07555,0.07674,0.07455,0.07326,0.01282,0.01172,0.01273,0.05429,0.02402,0.0229,0.07521,0.07239,0.07327,0.07571,0.07912,0.07805
309,0.07495,0.07367,0.0746,0.07582,0.07338,0.07236,0.01198,0.01077,0.01181,0.05238,0.02213,0.02138,0.07138,0.06902,0.06978,0.07037,0.07242,0.07106
310,0.07378,0.0723,0.07336,0.07443,0.07201,0.07111,0.01076,0.00967,0.01054,0.05046,0.02043,0.01974,0.06851,0.06573,0.0665,0.06534,0.06606,0.0647
311,0.07253,0.07121,0.0723,0.07312,0.07089,0.06985,0.00978,0.00862,0.00946,0.04897,0.01904,0.01817,0.06593,0.06281,0.06367,0.06155,0.06104,0.05994
312,0.07135,0.06984,0.07097,0.0722,0.06976,0.06853,0.00902,0.00798,0.00858,0.04736,0.01768,0.01695,0.06328,0.0607,0.06146,0.05803,0.05711,0.05598
313,0.07051,0.06883,0.06979,0.07108,0.06862,0.06758,0.00838,0.00714,0.00806,0.04622,0.01682,0.01602,0.06151,0.05869,0.05949,0.05553,0.05386,0.05258
314,0.06935,0.06801,0.06898,0.07001,0.06795,0.06656,0.00792,0.00655,0.00742,0.04507,0.0161,0.01538,0.05963,0.0573,0.05797,0.05321,0.05118,0.05006
315,0.06841,0.06702,0.0681,0.06902,0.06689,0.06567,0.00752,0.00627,0.00706,0.0441,0.01544,0.01468,0.05844,0.05605,0.05653,0.05135,0.04929,0.04819
316,0.06718,0.06583,0.06676,0.0676,0.06543,0.06421,0.00638,0.00525,0.00624,0.04279,0.01434,0.01337,0.05675,0.05453,0.0549,0.04921,0.047,0.04568
317,0.06602,0.0647,0.06567,0.06671,0.06441,0.06337,0.00597,0.00482,0.00565,0.04187,0.01366,0.01277,0.05553,0.0536,0.0536,0.04791,0.04552,0.0443
318,0.06522,0.06381,0.06461,0.06587,0.06361,0.06226,0.00562,0.00441,0.00499,0.04109,0.01305,0.01244,0.05421,0.05289,0.05264,0.04684,0.04407,0.04305
319,0.06375,0.06238,0.06357,0.06448,0.06233,0.06102,0.00465,0.00343,0.0043,0.03986,0.01205,0.01128,0.05293,0.05159,0.05112,0.04507,0.04257,0.04147
320,0.06285,0.06158,0.06241,0.06352,0.0614,0.0601,0.00406,0.00282,0.00383,0.03928,0.01144,0.01088,0.05183,0.05103,0.05028,0.04427,0.04152,0.0403
