,,Minutes,replicate 1 ,replicate 2 ,replicate 3
55:09:25,251,4.183333333,0.66,0.93,1.06
55:09:26,252,4.2,0.66,0.93,1.13
55:09:27,253,4.216666667,0.65,0.93,1.06
55:09:28,254,4.233333333,0.65,0.93,1.09
55:09:29,255,4.25,0.65,0.93,1.11
55:09:30,256,4.266666667,0.65,0.93,1.06
55:09:31,257,4.283333333,0.65,0.93,1.13
55:09:32,258,4.3,0.65,0.93,1.09
55:09:33,259,4.316666667,0.65,0.93,1.08
55:09:34,260,4.333333333,0.65,0.93,1.13
55:09:35,261,4.35,0.65,0.93,1.06
55:09:36,262,4.366666667,0.65,0.93,1.11
55:09:37,263,4.383333333,0.65,0.93,1.1
55:09:38,264,4.4,0.65,0.93,1.06
55:09:39,265,4.416666667,0.65,0.93,1.13
55:09:40,266,4.433333333,0.65,0.93,1.07
55:09:41,267,4.45,0.65,0.93,1.11
55:09:42,268,4.466666667,0.65,0.93,1.1
55:09:43,269,4.483333333,0.65,0.93,1.07
55:09:44,270,4.5,0.65,0.93,1.13
55:09:45,271,4.516666667,0.64,0.93,1.07
55:09:46,272,4.533333333,0.64,0.93,1.12
55:09:47,273,4.55,0.64,0.93,1.11
55:09:48,274,4.566666667,0.64,0.93,1.08
55:09:49,275,4.583333333,0.64,0.93,1.14
55:09:50,276,4.6,0.64,0.93,1.06
55:09:51,277,4.616666667,0.64,0.93,1.12
55:09:52,278,4.633333333,0.64,0.93,1.09
55:09:53,279,4.65,0.64,0.93,1.08
55:09:54,280,4.666666667,0.64,0.93,1.13
55:09:55,281,4.683333333,0.64,0.93,1.06
55:09:56,282,4.7,0.64,0.93,1.13
55:09:57,283,4.716666667,0.64,0.93,1.08
55:09:58,284,4.733333333,0.64,0.93,1.11
55:09:59,285,4.75,0.64,0.93,1.12
55:10:00,286,4.766666667,0.64,0.93,1.07
55:10:01,287,4.783333333,0.64,0.93,1.14
55:10:02,288,4.8,0.63,0.93,1.07
55:10:03,289,4.816666667,0.63,0.93,1.13
55:10:04,290,4.833333333,0.63,0.93,1.1
55:10:05,291,4.85,0.63,0.93,1.09
55:10:06,292,4.866666667,0.63,0.93,1.14
